編號,老師姓名,全銜,系所,負責計畫,場域,執行時間,計畫議題,SDGs關聯議題,第一期,第二期,第三期,第四期
9,簡義明,副教授,成功大學台灣文學系,永續城鄉營造–社會創新型USR資源中心建構計畫協同主持人8,,108,,,V,,,
10,宋立文,助理教授,成功大學建築系,永續城鄉營造–社會創新型USR資源中心建構計畫協同主持人9,,108,,,V,,,
11,辛柏毅,兼任教師,成功大學建築系,永續城鄉營造–社會創新型USR資源中心建構計畫協同主持人10,,108,,,V,,,
12,莊孟憲,組長,真理大學環境教育暨生態保育研究推廣中心,永續城鄉營造–社會創新型USR資源中心建構計畫協同主持人11,,108,,,V,,,
1,蔣鎮宇,特聘教授,生命科學系,以微生物科技導入台南市大溪北地區的智慧新農業計畫主持人,"台南市、後壁區、新東國小
台南市、後壁區、蘭花科學園區
台南市、後壁區、相伴工坊
台南市、白河區、木成香菇
台南市、東山區、番社蔬果聯盟
台南市、東山區、南方森林咖啡
台南市、東山區、黃文賢柳丁園
台南市、麻豆區、曾文農工
台南市、安定區、饗樂纖農基地
台南市、學甲區、瑞香農產
台南市、學甲區、福豐昕昕農場
台南市、六甲區、水星農場
台南市、柳營區、神農里關懷據點
台南市、新營區、假日農市
",108年,在地關懷,零飢餓、優質教育、陸地生物,v,,,
2,江友中,教授兼主任,中山大學生物科學系,以微生物科技導入台南市大溪北地區的智慧新農業計畫協同主持人,,108年,在地關懷,,v,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
1,林從一,副校長,,相伴2026：齡感生活微社群行動網計畫主持人,"台南市、中西區、永華里
台南市、北區、長勝里
台南市、安平區、國平社區
台南市、官田區、隆田在地實踐工作站
台南市、六甲區、林鳳營車站周邊
台南市、七股區、樹林里、樹林國小
國外場域:日本、千葉縣、長柄町生涯活躍町推進協議會、リソル生命の森(銀髮族養生園地)",民國109,健康促進與食品安全,良好健康與福祉,,V,,
2,林麗娟,副院長,管理學院,相伴2026：齡感生活微社群行動網計畫共同主持人1,,,,,,V,,
3,劉立凡,教授,老年學研究所,相伴2026：齡感生活微社群行動網計畫共同主持人2,,,,,,V,,
4,陳世明,社會實踐組組長,人文社會科學中心,相伴2026：齡感生活微社群行動網計畫協同主持人1,,,,,,V,,
5,董旭英,副主任,人文社會科學中心,相伴2026：齡感生活微社群行動網計畫協同主持人2,,,,,,V,,
6,郭素娥,主任,成大醫院營養部,相伴2026：齡感生活微社群行動網計畫協同主持人3,,,,,,V,,
